MARPI Real Personal Income by MSA 1/,,,,,,,,,,,,,,
(thousands of chained 2012 dollars) ,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),5610624,5525162,5633253,5859311,5832538,6106489,6315411,6462187,6560901,6712749,6742583
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,34551,33869,34466,35701,35297,36855,38108,38795,39380,40078,40247
14010,"Bloomington, IL (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),7512348,7693926,7913004,7885291,8065929,7921677,8349073,8410922,8433418,8615881,8532882
14010,"Bloomington, IL (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,44524,45309,46300,45653,46081,45499,48221,48598,48817,49973,49749
14020,"Bloomington, IN (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),5379549,5481685,5580035,5758619,5657563,5890937,6274286,6592977,6946921,7170467,7371804
14020,"Bloomington, IN (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,34082,34232,34504,35361,34662,35828,38009,39561,41492,42658,43561
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),3275356,3350011,3475436,3498702,3521060,3496080,3578191,3692666,3769041,3855787,3890157
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,38360,39110,40673,40934,41138,40872,42106,43757,44949,46202,46760
14260,"Boise City, ID (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),22396883,22721153,23422672,24514722,25368134,26965094,28829198,30214707,32288260,34114891,35184815
14260,"Boise City, ID (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,36636,36774,37317,38459,39075,40694,42733,43708,45497,46803,46963
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),240387849,249544913,256170264,263728672,264124123,274630205,291547895,295332986,302608518,310706305,315690584
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,53098,54649,55571,56636,56162,57854,61014,61412,62500,63937,64783
14500,"Boulder, CO (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),13797253,14459195,14784511,15496994,15854643,16964318,18335280,18905901,20109504,20935140,21492412
14500,"Boulder, CO (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,47059,49008,49289,50882,51256,54332,57653,58851,62366,64488,65888
14540,"Bowling Green, KY (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),5661144,5867106,6034453,6099451,6072835,6309523,6681755,6840631,7012599,7074112,7215153
14540,"Bowling Green, KY (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,36063,36821,37485,37547,36883,37865,39419,39794,40076,39997,40254
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),10625828,10723155,10722621,10895337,10637365,11103050,11566313,12023960,12464827,13088021,13502038
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,42708,42606,42166,42838,42145,43819,44618,45694,46809,48604,49736
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),77980295,82417875,81697325,80792377,75734359,79568160,81198652,84358889,87600009,91221869,93548505
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,85653,89647,88036,86400,80575,84271,85930,89330,92891,96636,99168
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),11314111,11859312,12066389,12092241,12128364,12452316,12965197,13258469,13448001,13818025,14144225
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,28264,29093,29202,29076,29060,29719,30910,31467,31850,32733,33425
15260,"Brunswick, GA (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),4367532,4420729,4503770,4447054,4405636,4573293,4851303,4971773,5075446,5242972,5326806
15260,"Brunswick, GA (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,39226,39283,39893,39257,38720,39904,41901,42650,43163,44326,44846
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),48360772,49431860,50142487,50870130,50374251,50840045,52787908,53658284,55938756,56162270,57364086
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,42594,43528,44157,44835,44384,44791,46591,47475,49508,49711,50855
15500,"Burlington, NC (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),5480090,5590953,5714953,5884961,5795548,5995028,6262735,6487538,6697344,6929434,7163927
15500,"Burlington, NC (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,36545,36921,37428,38397,37594,38582,39881,40476,41019,41615,42263
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),9397885,9587068,10049904,10198532,10201817,10351021,10696744,10707998,10795940,10987332,11181436
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,44659,45321,47131,47665,47489,47993,49259,49244,49302,49956,50730
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),5027276,5280368,5481360,5432340,5384344,5486527,5724279,5719850,5852687,6062839,6337614
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,48679,49927,50958,49930,49296,49917,51577,51184,52030,53787,55833
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),15984736,16071869,16772680,17184259,17182205,17674921,18413233,18350800,18814181,19247078,19737106
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,39456,39760,41585,42595,42597,43785,45755,45755,47115,48319,49651
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),26043362,26196167,27848768,28352058,28386702,31009252,33173698,34938506,36149994,36777779,37728099
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,42534,42221,44131,44011,43021,45788,47415,48348,48851,48747,48961
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),4149400,4162376,4181412,4254282,4214657,4245023,4509745,4561247,4596438,4589656,4676340
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,43388,43157,43115,43764,43371,43581,46341,46970,47475,47381,48327
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),5765065,5974447,5897251,5848744,5788178,5795917,6064102,5993972,6106292,6152363,6254194
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,41626,42856,42136,42169,41321,41501,43496,43236,44457,45008,46067
16180,"Carson City, NV (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),2407341,2561436,2453586,2218544,2231891,2319027,2504213,2513769,2641273,2713051,2783141
16180,"Carson City, NV (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,43453,46588,44875,40848,41542,42880,46316,46425,48435,49148,49774
16220,"Casper, WY (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),3798169,4061221,4273554,4843965,5088263,5731091,6006547,5179567,5025022,5587511,5692847
16220,"Casper, WY (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,50482,53812,55937,61656,62738,70426,73128,64017,63140,70572,71287
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),11944907,12167420,12451985,12886871,12876665,13369840,14114096,14398167,14509824,14994141,15072040
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,46497,47080,47704,49202,49015,50586,52998,53680,53610,55113,55202
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),5879102,5999261,6211718,6228845,6211838,6397720,6585691,6713548,6926501,7092271,7236530
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,39547,40015,41155,41119,40882,41923,43030,43678,44868,45881,46679
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),9116756,9406276,9510803,9599502,9909592,10209006,10505626,10304413,10244057,10388208,10633430
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,42063,43098,43255,43411,44467,45505,46540,45450,45158,45908,47044
16620,"Charleston, WV (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),11787170,11820083,11954594,11961227,11740027,11938253,12172989,11944722,12102772,12414676,12436506
16620,"Charleston, WV (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,42344,42548,43186,43228,42627,43633,44942,44548,45804,47697,48377
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),25148713,26690881,28242260,30402521,29741329,31820353,34068496,35582183,37508089,38886227,40305948
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,38369,39989,41456,43629,41814,43779,45718,46722,48364,49340,50249
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),104355435,97934968,101073360,112135443,105665112,110877889,118920143,123844482,130103235,134297624,138243127
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,46948,43524,44307,48362,44799,46190,48581,49544,51013,51793,52427
16820,"Charlottesville, VA (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),9506670,9909204,10200262,10974017,10689275,11283132,11940137,12489828,13296774,13864778,14022078
16820,"Charlottesville, VA (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,47527,49082,50095,53393,51700,53938,56456,58452,61530,63795,64141
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),20982529,21961368,22681301,23490777,23136659,23617390,24901307,25737706,26742476,27300436,27625033
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,40037,41505,42505,43655,42673,43400,45506,46638,48102,48678,48877
16940,"Cheyenne, WY (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),4241326,4340123,4675109,4762392,4672613,4757995,4826891,4752429,4890676,5173127,5349701
16940,"Cheyenne, WY (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,46902,47055,50500,50291,48822,49544,49778,48550,49714,52325,53766
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),407225129,411523028,420783713,439213977,449604001,473776387,498545277,500501670,512626253,529468694,536747365
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,43186,43453,44289,46097,47078,49556,52190,52498,53881,55827,56747
17020,"Chico, CA (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),7509210,7661381,7716000,7768954,7944522,8327300,9039141,9334350,9378912,9527341,9578729
17020,"Chico, CA (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,34167,34833,35077,35174,35844,37256,40240,41260,41010,41362,43701
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),95182766,98937971,104681672,107284424,107721463,109800461,114466657,117379042,119528714,122779311,126220563
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,44669,46217,48775,49841,49824,50548,52473,53559,54268,55508,56825
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),11163824,11619489,12239012,12138505,11779624,11788806,12195256,12306861,12784085,12981314,13420382
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,41378,42259,44120,42237,41268,40703,41639,41901,42808,42659,43598
