"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
10780,"Alexandria, LA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),5302408,5257482,5361291,5667339,5923309,5938294,6045886,6160540,6245761,6300415,6570992,6757395
10780,"Alexandria, LA (Metropolitan Statistical Area)",2,Population (persons) 1/,152442,153164,154096,154402,154400,154623,154558,154082,154124,153549,152762,152037
10780,"Alexandria, LA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,34783,34326,34792,36705,38363,38405,39117,39982,40524,41032,43015,44446
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),34465111,33256414,34563981,35852420,36480137,36951573,38526707,40378661,41691305,43078169,45112429,46992336
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",2,Population (persons) 1/,814050,817779,821923,824930,826144,825731,828470,830295,833163,837921,842626,844052
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,42338,40667,42053,43461,44157,44750,46503,48632,50040,51411,53538,55675
11020,"Altoona, PA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),4240852,4288406,4439095,4684022,4808282,4794185,4998509,5236887,5312333,5459082,5701223,5881562
11020,"Altoona, PA (Metropolitan Statistical Area)",2,Population (persons) 1/,127112,127161,127045,126970,126544,125836,125274,124596,123708,123147,122503,121829
11020,"Altoona, PA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,33363,33724,34941,36891,37997,38099,39901,42031,42943,44330,46539,48277
11100,"Amarillo, TX (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),8861933,8669319,9450943,10088683,10399720,10522802,11141029,11324431,11376011,11791320,12261607,12739902
11100,"Amarillo, TX (Metropolitan Statistical Area)",2,Population (persons) 1/,246458,249373,252664,255975,257802,258896,260812,261618,262987,264331,264406,265053
11100,"Amarillo, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,35957,34764,37405,39413,40340,40645,42717,43286,43257,44608,46374,48065
11180,"Ames, IA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),4181156,3982625,3955162,4285225,4770974,4640000,4827359,4976664,5013518,5118925,5389612,5544823
11180,"Ames, IA (Metropolitan Statistical Area)",2,Population (persons) 1/,114285,115645,115925,117424,118139,120161,122092,123079,123309,123721,123093,123351
11180,"Ames, IA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,36585,34438,34118,36494,40384,38615,39539,40435,40658,41375,43785,44952
11260,"Anchorage, AK (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),18933642,18897379,20208961,21395704,21920977,21654641,22899316,23804702,23221930,23526077,24583919,25503163
11260,"Anchorage, AK (Metropolitan Statistical Area)",2,Population (persons) 1/,365633,374562,383053,387922,391932,397022,397996,398609,401368,400570,397636,396317
11260,"Anchorage, AK (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,51783,50452,52758,55155,55931,54543,57537,59719,57857,58732,61825,64350
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),15173227,14224663,15690064,15757892,16837310,16963525,17843290,18972715,19813370,20768333,21734133,22365853
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",2,Population (persons) 1/,341595,343520,345717,349753,352303,356040,360021,362975,366135,368807,369483,367601
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,44419,41409,45384,45054,47792,47645,49562,52270,54115,56312,58823,60843
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3619662,3573396,3661982,3758530,3797108,3730360,3835683,3974840,4014894,4121206,4228930,4361788
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",2,Population (persons) 1/,117274,118363,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,30865,30190,30927,31921,32401,32028,33090,34423,34920,35927,36988,38394
11540,"Appleton, WI (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),8582588,8424501,8669917,9260407,9661257,9819571,10356656,10813954,11179260,11598983,12097566,12537901
11540,"Appleton, WI (Metropolitan Statistical Area)",2,Population (persons) 1/,222402,224632,225948,227548,228656,229978,231627,233146,234200,235811,237011,237974
11540,"Appleton, WI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,38590,37504,38371,40696,42252,42698,44713,46383,47734,49188,51042,52686
11700,"Asheville, NC (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),14346845,13912930,14218227,14825509,15766749,15828039,16936240,18028032,18850941,19774194,21017694,21945716
11700,"Asheville, NC (Metropolitan Statistical Area)",2,Population (persons) 1/,417457,422014,425338,428113,430945,435795,439661,444593,450310,454855,459314,462680
11700,"Asheville, NC (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,34367,32968,33428,34630,36586,36320,38521,40550,41862,43474,45759,47432
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),5640037,5586301,5693052,5986133,6274463,6410966,6905518,7434706,7679520,8160419,8605032,8869497
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",2,Population (persons) 1/,189948,192021,193439,194375,195984,197590,198361,202565,205402,209106,211468,213750
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,29693,29092,29431,30797,32015,32446,34813,36703,37388,39025,40692,41495
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),205537728,199448720,203513558,219075355,226640964,230395527,250262945,266444291,279395622,297613678,316220617,328450133
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",2,Population (persons) 1/,5170099,5240828,5302598,5366462,5444473,5510530,5593204,5686048,5787965,5872432,5945303,6020364
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,39755,38057,38380,40823,41628,41810,44744,46859,48272,50680,53188,54557
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),10738345,10519573,10708168,11210439,11488052,11647180,11894228,12000996,12133315,12424234,12816209,13349834
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",2,Population (persons) 1/,273014,274049,274648,274621,274629,274314,272578,270153,267217,265498,263989,263670
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,39333,38386,38989,40821,41831,42459,43636,44423,45406,46796,48548,50631
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3976256,3959421,4131431,4436858,4734318,4844011,5126011,5415988,5720244,5948184,6280809,6545660
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",2,Population (persons) 1/,134524,138566,140794,144130,148567,151809,154511,156954,159168,161440,163656,164542
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,29558,28574,29344,30784,31867,31909,33176,34507,35938,36845,38378,39781
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),17818750,18018523,18732472,19857321,20109207,20285240,21306042,22633236,23259479,24398910,25422701,26574937
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",2,Population (persons) 1/,552627,558096,566694,570849,576206,579802,583046,589574,595029,600276,604221,608980
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,32244,32286,33056,34786,34899,34986,36543,38389,39090,40646,42075,43638
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),67819889,65884392,70355303,77881693,85635903,88954305,97179427,103077251,108054841,118651329,129146253,138028065
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",2,Population (persons) 1/,1633870,1682338,1727502,1780535,1834586,1883315,1942467,2002134,2062016,2115475,2165497,2227083
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,41509,39162,40727,43741,46679,47233,50029,51484,52403,56087,59638,61977
12540,"Bakersfield, CA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),24160612,24003563,26097169,27742981,29468514,30412531,32513120,33334249,33286588,34063749,35566558,37666752
12540,"Bakersfield, CA (Metropolitan Statistical Area)",2,Population (persons) 1/,818327,830137,840996,847970,853606,862000,869176,876031,880856,887356,893758,900202
12540,"Bakersfield, CA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,29524,28915,31031,32717,34522,35281,37407,38051,37789,38388,39794,41843
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),129517393,128216434,132299439,139408288,143713198,144540375,150789783,156931804,161864493,167288930,173683854,179169101
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2,Population (persons) 1/,2679819,2696018,2715738,2733785,2754637,2768233,2780055,2790053,2794111,2798707,2800743,2800053
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,48331,47558,48716,50995,52171,52214,54240,56247,57931,59774,62013,63988
12620,"Bangor, ME (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),4979937,5115954,5134339,5326232,5387976,5390675,5581170,5756406,5864423,6034142,6317871,6563124
12620,"Bangor, ME (Metropolitan Statistical Area)",2,Population (persons) 1/,153372,153770,153861,153759,153347,153222,153201,151929,151333,151645,151817,152148
12620,"Bangor, ME (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,32470,33270,33370,34640,35136,35182,36430,37889,38752,39791,41615,43136
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),10930166,10908145,11312044,11901890,12495574,12667996,13304509,14001940,14579039,15181333,15949290,16492955
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",2,Population (persons) 1/,217066,215994,215899,215356,214788,214518,214289,213877,213559,213581,213471,212990
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,50354,50502,52395,55266,58176,59053,62087,65467,68267,71080,74714,77435
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),30533652,30340891,31287421,33172504,34395833,35050425,36384121,37188072,38014545,39172207,41153342,42264278
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",2,Population (persons) 1/,811301,819405,827629,831493,836197,841986,846827,851167,856723,854295,854526,854884
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,37635,37028,37804,39895,41134,41628,42965,43691,44372,45853,48159,49439
12980,"Battle Creek, MI (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),4309831,4225773,4337337,4446794,4565662,4600038,4734379,4970151,5065180,5153616,5249396,5400823
12980,"Battle Creek, MI (Metropolitan Statistical Area)",2,Population (persons) 1/,137313,136301,135951,135105,134737,134751,134804,134327,134344,134180,134049,134159
12980,"Battle Creek, MI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,31387,31003,31904,32914,33886,34137,35120,37000,37703,38408,39160,40257
13020,"Bay City, MI (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3486594,3451493,3591408,3714333,3764382,3768444,3883372,4048099,4110220,4175285,4393535,4502212
13020,"Bay City, MI (Metropolitan Statistical Area)",2,Population (persons) 1/,108320,107913,107679,107417,106967,106794,106046,105237,104411,104045,103702,103126
13020,"Bay City, MI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,32188,31984,33353,34579,35192,35287,36620,38466,39366,40130,42367,43657
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),13091885,12997381,13655532,14267076,14973569,14656804,15903939,16485366,16491469,17018856,17382152,17751250
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",2,Population (persons) 1/,385248,387146,389251,390905,389614,391195,391651,394825,396539,398129,393815,392563
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,33983,33572,35082,36498,38432,37467,40607,41754,41589,42747,44138,45219
13220,"Beckley, WV (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3558327,3666513,3831216,4205227,4273243,4167737,4231288,4301190,4140593,4372759,4605556,4761221
13220,"Beckley, WV (Metropolitan Statistical Area)",2,Population (persons) 1/,124550,124816,124949,125266,125110,124356,123342,122070,120475,118673,117154,115767
13220,"Beckley, WV (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,28569,29375,30662,33570,34156,33515,34305,35235,34369,36847,39312,41128
13380,"Bellingham, WA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),7255663,7129058,7414196,7817746,8308744,8327605,8774297,9307821,9722678,10284959,11139242,11672154
13380,"Bellingham, WA (Metropolitan Statistical Area)",2,Population (persons) 1/,196708,199865,201545,203490,204863,206073,208154,211836,216417,221410,225197,229247
13380,"Bellingham, WA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,36885,35669,36787,38418,40558,40411,42153,43939,44926,46452,49464,50915
13460,"Bend, OR (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),5887174,5441052,5493841,5869857,6354749,6805466,7343291,8275134,8985844,9812799,10672155,11159204
13460,"Bend, OR (Metropolitan Statistical Area)",2,Population (persons) 1/,156820,157345,157742,159660,161359,165299,169512,174246,180666,186744,191905,197692
13460,"Bend, OR (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,37541,34580,34828,36765,39383,41171,43320,47491,49737,52547,55612,56447
13740,"Billings, MT (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),6265573,6150664,6464005,6944674,7571769,7651979,8156468,8482472,8530962,9054678,9461062,9802775
13740,"Billings, MT (Metropolitan Statistical Area)",2,Population (persons) 1/,163165,165575,167571,169017,170942,173367,174952,176357,177759,179365,180203,181667
13740,"Billings, MT (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,38400,37147,38575,41089,44294,44137,46621,48098,47992,50482,52502,53960
13780,"Binghamton, NY (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),8589127,8732502,8946988,9184468,9459605,9485515,9643906,9876545,9968422,10466036,10678703,11095201
13780,"Binghamton, NY (Metropolitan Statistical Area)",2,Population (persons) 1/,252527,252171,251489,250238,248945,248017,247075,245283,243322,241709,240366,238691
13780,"Binghamton, NY (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,34013,34629,35576,36703,37999,38245,39032,40266,40968,43300,44427,46484
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),41871427,40129633,41703186,43452289,45684227,45556037,47530078,49933414,50839352,53543159,56272785,58200404
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",2,Population (persons) 1/,1049266,1057924,1061717,1064030,1067563,1072882,1076087,1079752,1082877,1085615,1087967,1090435
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,39905,37932,39279,40837,42793,42461,44169,46245,46948,49321,51723,53374
13900,"Bismarck, ND (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),4196213,4383919,4776622,5302988,5951371,6244114,6823362,6992098,6927416,6985640,7278884,7511736
13900,"Bismarck, ND (Metropolitan Statistical Area)",2,Population (persons) 1/,107210,109009,111112,112865,115679,119240,122155,125325,127233,128115,128279,128949
13900,"Bismarck, ND (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,39140,40216,42989,46985,51447,52366,55858,55792,54447,54526,56743,58254
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",1,Personal income (thousands of dollars),4650254,4694430,4707296,4945493,5183007,5241762,5526496,5778761,5924430,6132976,6435256,6620300
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",2,Population (persons) 1/,161247,162385,163131,163442,164120,165240,165688,165725,166572,166605,167492,167531
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",3,Per capita personal income (dollars) 2/,28839,28909,28856,30258,31581,31722,33355,34870,35567,36811,38421,39517
14010,"Bloomington, IL (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),6575955,6586058,6822087,7231627,7365615,7631307,7609034,7969221,8108610,8195140,8488859,8507653
14010,"Bloomington, IL (Metropolitan Statistical Area)",2,Population (persons) 1/,166825,168727,169810,170909,172721,175037,174105,173141,173070,172754,172410,171517
14010,"Bloomington, IL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,39418,39034,40175,42313,42645,43598,43704,46027,46852,47438,49236,49602
14020,"Bloomington, IN (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),4851807,4791757,4913993,5191061,5448213,5455509,5714971,6025741,6320029,6721779,7041016,7346430
14020,"Bloomington, IN (Metropolitan Statistical Area)",2,Population (persons) 1/,156164,157840,160132,161722,162852,163221,164422,165073,166655,167429,168092,169230
14020,"Bloomington, IN (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,31069,30358,30687,32099,33455,33424,34758,36503,37923,40147,41888,43411
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),2851425,2831591,2978939,3138981,3223207,3288807,3357763,3475877,3575460,3685496,3807656,3918174
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",2,Population (persons) 1/,84735,85385,85657,85449,85472,85592,85538,84980,84390,83851,83455,83194
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,33651,33163,34778,36735,37711,38424,39255,40902,42368,43953,45625,47097
14260,"Boise City, ID (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),20843553,20137994,20737699,21852159,23264918,24408039,26205717,27890191,29185239,31385382,34014138,35872855
14260,"Boise City, ID (Metropolitan Statistical Area)",2,Population (persons) 1/,603218,611341,617866,627670,637425,649224,662624,674640,691285,709682,728911,749202
14260,"Boise City, ID (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,34554,32941,33563,34815,36498,37596,39548,41341,42219,44225,46664,47881
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),254643531,251395544,265132347,278612314,291048881,293535282,310116458,331613402,345262564,363192458,383529173,397139161
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",2,Population (persons) 1/,4483141,4527220,4566348,4609790,4656593,4702877,4746931,4778340,4809061,4841772,4859536,4873019
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,56800,55530,58062,60439,62503,62416,65330,69399,71794,75012,78923,81498
14500,"Boulder, CO (Metropolitan Statistical Area) *",1,Personal income (thousands of dollars),15157809,13762807,14889031,15690492,16746365,17540367,18913629,20444932,20997911,22560576,23866572,24962717
14500,"Boulder, CO (Metropolitan Statistical Area) *",2,Population (persons) 1/,290859,293190,295037,299957,304570,309323,312233,318027,321250,322441,324636,326196
14500,"Boulder, CO (Metropolitan Statistical Area) *",3,Per capita personal income (dollars) 2/,52114,46942,50465,52309,54984,56706,60575,64287,65363,69968,73518,76527
14540,"Bowling Green, KY (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),4567053,4476122,4732922,4999075,5180670,5263153,5553337,5869334,6010065,6241402,6400089,6652350
14540,"Bowling Green, KY (Metropolitan Statistical Area)",2,Population (persons) 1/,154513,156978,159341,160985,162450,164653,166630,169507,171902,174981,176864,179240
14540,"Bowling Green, KY (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,29558,28514,29703,31053,31891,31965,33327,34626,34962,35669,36186,37114
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),10543818,10346466,10639890,10954944,11375132,11372919,12094971,12669582,13288233,14065097,15159557,15982626
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",2,Population (persons) 1/,246912,248800,251681,254297,254339,252401,253387,259232,263142,266289,269276,271473
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,42703,41585,42275,43079,44724,45059,47733,48874,50498,52819,56297,58874
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),90512632,89508015,95360433,96584971,96932032,91393072,96903612,98831179,101605049,105035532,110852692,114517862
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",2,Population (persons) 1/,903824,910421,919355,928000,935099,939924,944196,944943,944347,943038,943971,943332
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,100144,98315,103725,104079,103660,97235,102631,104590,107593,111380,117432,121397
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),8543864,8882951,9518840,9962797,10228234,10444514,10836016,11172451,11427833,11662651,12216651,12664258
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",2,Population (persons) 1/,393000,400303,407630,413201,415877,417357,419005,419450,421350,422227,422139,423163
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,21740,22191,23352,24111,24594,25025,25861,26636,27122,27622,28940,29928
15260,"Brunswick, GA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3619856,3463559,3597292,3755089,3786846,3826129,4018568,4301360,4437939,4649984,4963920,5093781
15260,"Brunswick, GA (Metropolitan Statistical Area)",2,Population (persons) 1/,109579,111343,112534,112895,113281,113781,114607,115779,116571,117587,118282,118779
15260,"Brunswick, GA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,33034,31107,31966,33262,33429,33627,35064,37151,38071,39545,41967,42885
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),42108452,42515638,43978449,45825295,47450812,47907088,49290908,51464192,52438950,55298925,56783377,59028041
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",2,Population (persons) 1/,1136364,1135377,1135627,1135562,1134619,1134974,1135060,1133002,1130232,1129882,1129777,1127983
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,37055,37446,38726,40355,41821,42210,43426,45423,46397,48942,50261,52331
15500,"Burlington, NC (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),4856635,4728074,4846334,5052980,5258423,5274613,5541165,5789896,6022761,6287496,6650506,6982583
15500,"Burlington, NC (Metropolitan Statistical Area)",2,Population (persons) 1/,147704,149954,151431,152692,153265,154162,155384,157037,160283,163276,166514,169509
15500,"Burlington, NC (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,32881,31530,32004,33093,34309,34215,35661,36870,37576,38508,39940,41193
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),9167806,9032205,9289099,9968816,10349481,10566683,11022854,11453310,11722028,12081200,12545471,12929749
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",2,Population (persons) 1/,209332,210435,211538,213235,213962,214827,215676,217152,217447,218975,219939,220411
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,43796,42922,43912,46750,48371,49187,51108,52743,53908,55172,57041,58662
